"GEO_ID","id"
"NAME","Geographic Area Name"
"B28011_001E","Estimate!!Total:"
"B28011_001M","Margin of Error!!Total:"
"B28011_002E","Estimate!!Total:!!With an Internet subscription"
"B28011_002M","Margin of Error!!Total:!!With an Internet subscription"
"B28011_003E","Estimate!!Total:!!With an Internet subscription!!Dial-up alone"
"B28011_003M","Margin of Error!!Total:!!With an Internet subscription!!Dial-up alone"
"B28011_004E","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL"
"B28011_004M","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL"
"B28011_005E","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service"
"B28011_005M","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service"
"B28011_006E","Estimate!!Total:!!With an Internet subscription!!Other service"
"B28011_006M","Margin of Error!!Total:!!With an Internet subscription!!Other service"
"B28011_007E","Estimate!!Total:!!Internet access without a subscription"
"B28011_007M","Margin of Error!!Total:!!Internet access without a subscription"
"B28011_008E","Estimate!!Total:!!No Internet access"
"B28011_008M","Margin of Error!!Total:!!No Internet access"
