sampno,sequence,d16_vehtype,veh_year,veh_make,veh_model,d16_vehfueltype,veh_make_oth,d18_how_acquired,d18_replacement,d18_year_acquired,d18_season_acquired,d18_annual_mileage,d18_mpg,d18_replace_time,d18_dispose,d18_currentuse,pevowner
125,1,9,2007,REDACTED,REDACTED,1,REDACTED,1,1,2007,2,10000,15,5,-1,6,0
125,2,11,2008,,,1,,1,2,2008,1,1000,12,5,-1,5,0
125,3,9,2009,,,1,,1,1,2009,1,10000,15,6,2,6,0
125,4,10,2011,,,1,,1,1,2011,1,10000,22,5,-1,6,0
125,5,9,2013,,,4,,1,1,2013,1,12000,16,2,1,6,0
126,1,11,2008,,,5,,3,1,2013,2,25000,250,1,2,2,0
126,2,2,2008,,,1,,3,1,2010,1,10000,100,1,2,2,0
126,3,8,2005,,,1,,3,1,2006,1,20000,25,2,2,2,0
127,1,11,2015,,,1,,1,1,2015,2,5000,20,3,2,6,0
128,1,2,2017,,,1,,2,1,2015,1,10000,25,2,1,1,0
128,2,2,2017,,,2,,1,1,2015,1,10000,30,2,1,1,0
128,3,2,2017,,,1,,1,1,2013,2,10000,22,1,1,1,0
128,4,3,2017,,,5,,3,1,2012,4,10000,25,1,4,3,0
128,5,4,2017,,,5,,3,1,2010,5,10000,20,1,3,1,0
130,1,3,2008,,,1,,3,1,2004,1,15000,21,3,2,4,0
130,2,11,2008,,,1,,1,1,2008,3,8000,14,4,2,4,0
132,1,10,2001,,,1,,3,1,2001,3,10000,17,2,1,1,0
133,1,8,2010,,,1,,1,1,2010,3,12000,23,2,1,2,0
134,1,10,2007,,,1,,3,2,2015,2,10000,18,3,2,6,0
135,1,9,2013,,,1,,1,1,2013,5,12666,20,5,-1,6,0
135,2,11,2015,,,1,,1,1,2015,5,12000,20,2,1,4,0
135,3,13,2012,,,1,,1,1,2012,5,23500,20,1,1,4,0
135,4,13,2016,,,1,,1,1,2016,4,25000,25,2,1,4,0
136,1,12,2016,,,1,,1,2,2016,3,15000,21,4,4,4,0
136,2,12,2016,,,1,,1,2,2016,4,15000,20,4,4,4,0
136,3,13,2008,,,1,,1,1,2008,5,15000,13,4,4,4,0
136,4,13,2006,,,1,,1,1,2006,5,15000,13,4,4,4,0
136,5,13,2005,,,1,,1,1,2005,5,15000,13,3,4,4,0
139,1,8,2012,,,1,,1,1,2012,2,20000,19,3,7,3,0
140,1,3,2015,,,1,,2,1,2014,3,10000,28,2,1,1,0
140,2,2,2013,,,1,,3,2,2014,1,15000,30,2,2,2,0
140,3,2,2016,,,1,,1,2,2015,3,25000,36,2,2,3,0
140,4,2,2011,,,1,,3,2,2013,2,7500,25,3,2,5,0
141,1,11,1989,,,1,,1,2,1998,4,6000,12,5,-1,2,0
