sampno,sequence,choice,alt1_fuel,alt1_veh,alt1_year,a1_incentive,a1_fuelavail,a1_fuelavail_loc,alt1_range,alt1_veh_model,alt1_annmain,alt1_cpmile,alt1_mpge,alt1_accel,alt1_refueltime,alt1_trunk,alt1_price,alt2_fuel,alt2_veh,alt2_year,a2_incentive,a2_fuelavail,a2_fuelavail_loc,alt2_range,alt2_veh_model,alt2_annmain,alt2_cpmile,alt2_mpge,alt2_accel,alt2_refueltime,alt2_trunk,alt2_price,alt3_fuel,alt3_veh,alt3_year,a3_incentive,a3_fuelavail,a3_fuelavail_loc,alt3_range,alt3_veh_model,alt3_annmain,alt3_cpmile,alt3_mpge,alt3_accel,alt3_refueltime,alt3_trunk,alt3_price,alt4_fuel,alt4_veh,alt4_year,a4_incentive,a4_fuelavail,a4_fuelavail_loc,alt4_range,alt4_veh_model,alt4_annmain,alt4_cpmile,alt4_mpge,alt4_accel,alt4_refueltime,alt4_trunk,alt4_price
125,1,1,4,9,2016,0,3,1,341,21,533.5,24.58,13.0,5.3,3,17.0,53500,3,12,2016,1,0,2,792,4,387.0,13.57,44.0,5.5,7,25.0,55300,1,9,2016,0,7,1,285,3,364.0,48.5,12.0,9.3,4,16.0,38100,4,6,2016,0,3,1,405,10,319.0,13.89,23.0,10.5,3,15.0,33500
125,2,1,4,9,2016,0,10,1,309,25,606.25,9.83,13.0,9.3,1,21.0,40000,3,9,2014,0,5,1,475,1,437.0,39.8,20.0,8.9,7,13.0,53500,7,3,2013,0,10,1,200,2,538.0,23.92,24.0,9.5,13,8.0,16400,4,11,2016,0,3,1,380,22,405.0,7.99,16.0,9.4,4,13.0,40200
125,3,1,4,9,2016,0,3,1,303,17,606.25,29.05,11.0,5.3,1,21.0,46500,5,7,2013,0,3,1,627,2,360.0,14.14,33.0,9.8,3,28.0,33600,3,9,2016,6,15,1,788,2,437.0,11.37,35.0,4.9,7,12.0,53400,1,2,2016,0,5,1,328,219,383.0,18.19,24.0,6.5,4,18.0,23600
125,4,1,4,9,2016,0,5,1,356,21,533.5,28.4,15.0,5.3,2,16.0,53500,9,9,2016,4,20,1,80,4,544.0,12.9,65.0,8.9,11,12.0,100100,3,10,2016,9,15,1,1034,1,353.0,5.08,47.0,9.5,8,13.0,32000,1,3,2016,0,3,1,425,243,538.0,21.56,27.0,9.5,4,19.0,24700
125,5,1,4,9,2016,0,3,1,248,25,606.25,23.67,9.0,5.3,4,16.0,40000,4,8,2016,0,5,1,205,8,563.0,17.75,12.0,5.3,2,30.0,31700,5,13,2016,0,5,1,618,1,504.0,7.18,26.0,12.7,3,128.0,46000,3,9,2016,1,0,3,698,1,364.0,25.68,31.0,8.9,7,16.0,53400
125,6,1,4,9,2016,0,7,1,293,17,606.25,9.83,13.0,5.3,2,16.0,40000,1,3,2016,0,7,1,380,168,538.0,18.98,23.0,9.5,1,14.0,28400,5,1,2016,0,5,1,376,3,383.0,15.76,36.0,7.5,4,11.0,25200,3,4,2016,7,15,1,680,1,419.0,9.48,42.0,4.6,5,14.0,57400
125,7,1,4,9,2016,0,10,1,356,13,533.5,28.4,15.0,5.3,3,21.0,53500,4,7,2016,0,5,1,286,2,600.0,32.77,13.0,9.8,4,21.0,39700,8,9,2016,7,15,1,150,2,606.0,23.92,24.0,6.0,14,13.0,76500,2,3,2014,0,3,1,441,15,304.0,10.39,28.0,10.3,2,16.0,27100
125,8,1,4,9,2016,0,7,1,309,25,533.5,16.38,13.0,9.3,2,21.0,60000,4,3,2016,0,7,1,281,16,538.0,12.53,17.0,5.5,2,19.0,25900,5,6,2016,0,3,1,471,1,319.0,20.06,31.0,10.5,3,15.0,25500,3,9,2016,9,5,1,594,1,534.0,9.55,25.0,4.9,8,16.0,71400
126,1,1,5,9,2016,0,3,1,605,1,533.5,21.2,22.0,9.3,4,16.0,69600,2,3,2016,0,3,1,567,24,304.0,9.07,36.0,10.3,4,15.0,35100,5,9,2014,0,7,1,315,4,364.0,33.32,14.0,9.3,1,22.0,39000,6,1,2016,0,7,1,376,1,446.0,12.96,36.0,8.5,3,8.0,25900
126,2,2,5,9,2016,0,7,1,338,4,363.75,41.47,15.0,9.3,4,17.0,69600,5,5,2016,0,3,1,513,2,781.0,16.37,38.0,3.5,2,12.0,56600,9,9,2016,7,20,1,150,2,479.0,8.6,39.0,4.9,11,14.0,113800,3,13,2016,8,0,3,713,1,420.0,26.53,30.0,12.1,6,78.0,54400
