sampno,sequence,vehtype,veh_year,veh_make,veh_model,vehfueltype,how_acquired,replacement,year_acquired,season_acquired,purchase_mileage,current_mileage,annual_mileage,mpg,primary_driver,other_drivers,replace_time,dispose,replace_type,replace_newused,replace_powertrain,pevowner
156,1,2,2006,REDACTED,REDACTED,2,1,2,2006,1,171,171309,9000,42,1,3,3,1,1,2,2,0
156,2,3,2004,,,1,1,1,2004,1,52,150000,10000,25,2,3,3,1,3,2,1,0
158,1,5,2013,,,1,3,1,2015,1,46000,56000,10000,12,1,4,6,-1,-1,-1,-1,0
159,1,11,2013,,,1,3,1,2013,2,12000,46570,6000,19,1,3,3,1,8,2,1,0
159,2,3,2000,,,1,3,1,2013,3,150000,208500,10000,20,1,2,1,2,10,3,1,0
164,1,8,2004,,,1,3,1,2013,3,97300,144756,16000,23,2,1,1,2,9,3,1,0
164,2,11,2000,,,1,3,1,2009,2,78600,152300,11000,18,1,3,2,2,10,3,1,0
165,1,5,2013,,,1,3,1,2013,1,14000,44000,10000,20,1,-1,2,1,3,2,2,0
166,1,2,2005,,,1,1,1,2005,2,16,136012,12000,20,2,1,3,1,2,1,1,0
166,2,8,2016,,,1,1,2,2016,2,65,7132,5000,23,1,3,5,1,2,1,3,0
167,1,6,2008,,,1,1,1,2008,1,0,155000,18000,25,1,-1,3,1,6,2,2,0
167,2,10,1989,,,1,3,2,2011,1,190000,195000,500,20,1,-1,7,4,-1,-1,-1,0
168,1,11,2014,,,1,3,1,2016,2,14000,15000,6000,14,2,4,5,1,11,2,9,0
168,2,7,2005,,,1,1,1,2005,1,0,42000,3000,22,1,3,2,1,7,2,2,0
169,1,3,2002,,,1,3,1,2014,3,43000,110123,35000,30,1,2,2,2,2,3,1,0
169,2,10,1999,,,1,1,2,1999,3,0,120000,7000,25,2,2,4,2,11,3,1,0
172,1,5,1997,,,1,1,1,2000,2,0,290000,20000,22,1,2,3,2,8,2,3,0
174,1,7,2009,,,1,3,1,2009,3,18000,125000,11000,20,1,3,2,1,7,2,1,0
174,2,13,1995,,,1,1,1,1996,1,12,135000,9000,18,2,2,3,8,8,1,1,0
176,1,4,2013,,,1,3,2,2016,2,24000,30000,9000,22,1,3,5,3,4,2,1,0
176,2,3,2004,,,1,1,1,2004,2,0,112000,1000,30,2,3,4,3,3,2,1,0
176,3,9,2004,,,1,1,1,2004,4,0,115000,8000,18,2,2,3,2,8,2,1,0
176,4,11,1998,,,1,1,1,1998,4,0,120000,1000,18,1,3,4,2,11,2,1,0
179,1,3,2000,,,1,3,2,2007,4,87000,133835,5000,20,1,3,2,2,10,2,1,0
179,2,6,2014,,,1,1,1,2013,4,35,43056,20000,22,2,2,5,2,3,1,3,0
180,1,3,2005,,,1,1,1,2005,4,0,75000,5000,30,1,-1,3,1,3,1,2,0
182,1,10,2011,,,1,1,2,2010,4,0,23500,4000,22,1,1,6,-1,-1,-1,-1,0
182,2,4,2002,,,1,1,1,2002,1,0,101500,3000,21,2,3,2,2,4,1,1,0
182,3,5,2005,,,1,1,2,2004,4,0,38200,2000,22,1,4,6,-1,-1,-1,-1,0
184,1,3,2015,,,1,1,1,2015,4,10,22000,12000,26,1,3,2,1,8,1,2,0
184,2,3,2014,,,1,2,1,2014,4,0,10000,4000,26,2,3,1,1,3,1,1,0
185,1,11,2004,,,1,3,2,2015,1,140000,160000,15000,25,1,1,6,-1,-1,-1,-1,0
187,1,3,2001,,,1,1,1,2001,3,0,192000,8000,22,1,-1,6,-1,-1,-1,-1,0
187,2,10,1998,,,1,1,2,1998,2,0,176000,2000,18,1,-1,6,-1,-1,-1,-1,0
188,1,1,2000,,,2,1,1,2000,5,20,34000,2000,40,1,3,2,1,1,1,3,0
188,2,4,2014,,,2,1,1,2014,4,10,30086,8000,34,2,3,6,-1,-1,-1,-1,0
191,1,2,2015,,,1,3,1,2015,3,17000,30000,10000,27,1,4,3,3,3,2,1,0
192,1,4,2015,,,2,1,1,2015,2,3500,6942,1600,31,1,-1,3,1,4,1,2,0
194,1,12,2005,,,1,3,1,2013,2,105000,126000,7000,20,1,2,3,2,8,1,1,0
194,2,3,2013,,,1,1,1,2013,4,0,28000,9000,28,2,3,5,2,3,1,9,0
195,1,3,2003,,,1,3,1,2013,3,90000,120000,10000,20,2,2,3,8,3,3,1,0
195,2,3,2004,,,1,3,1,2008,4,70000,120000,5000,20,1,3,3,7,3,3,1,0
195,3,13,1985,,,1,1,1,1985,2,0,330000,1000,10,1,4,7,8,-1,-1,-1,0
197,1,8,2010,,,1,1,1,2010,1,0,46000,10000,25,2,2,2,1,8,1,1,0
197,2,11,2005,,,1,3,1,2011,3,37000,46000,6000,18,1,2,2,1,8,2,2,0
199,1,9,2004,,,1,3,1,2012,5,102000,125000,6000,30,1,2,6,-1,-1,-1,-1,0
199,2,9,2008,,,1,3,1,2014,5,135000,147000,6000,30,2,2,6,-1,-1,-1,-1,0
200,1,5,1995,,,1,1,1,1995,2,3,434553,20693,28,1,-1,2,8,5,1,1,0
202,1,7,2011,,,1,1,1,2011,3,22,91500,18300,20,2,1,2,1,7,1,2,0
202,2,8,2014,,,1,1,2,2013,4,18,21300,7500,21,1,2,5,3,3,1,1,0
202,3,2,2013,,,1,3,2,2015,3,49500,60000,9000,24,3,3,4,2,11,1,1,0
203,1,3,2009,,,1,2,1,2009,3,0,58000,8500,24,1,1,3,1,2,2,9,0
203,2,3,2013,,,1,1,1,2013,3,0,25000,8500,30,2,1,4,1,3,1,2,0
203,3,9,2007,,,1,3,2,2016,3,191000,192500,3000,19,1,2,4,2,9,3,1,0
204,1,8,2017,,,1,1,1,2016,3,13,300,10000,15,1,-1,5,8,2,2,1,0
208,1,3,2009,,,1,1,1,2009,2,0,98000,10000,25,2,2,4,3,2,2,2,0
208,2,10,1999,,,1,4,1,2014,2,140000,147000,4000,23,1,3,6,-1,-1,-1,-1,0
208,3,13,1999,,,1,1,1,1999,2,0,162000,1000,17,1,3,7,8,-1,-1,-1,0
208,4,2,2010,,,1,1,1,2010,2,0,140000,12000,26,1,3,6,-1,-1,-1,-1,0
209,1,11,2004,,,1,1,2,2004,4,5,100835,480,35,3,1,2,8,3,2,1,0
211,1,11,2008,,,1,3,1,2012,3,78000,112000,8000,20,1,2,6,-1,-1,-1,-1,0
211,2,10,2008,,,1,3,1,2014,1,75000,100000,10000,35,2,1,6,-1,-1,-1,-1,0
212,1,8,1995,,,1,3,1,2015,3,113000,114000,1000,6,1,4,6,-1,-1,-1,-1,0
214,1,2,2007,,,2,3,1,2016,2,163,172,17,47,1,-1,2,8,4,4,1,0
216,1,9,2012,,,4,1,1,2012,4,10,34000,10000,10,2,1,6,-1,-1,-1,-1,0
216,2,9,2015,,,1,1,1,2015,1,80,4600,5000,30,1,3,6,-1,-1,-1,-1,0
216,3,2,1991,,,1,3,2,1991,1,10,275000,15000,25,1,1,4,8,9,1,2,0
217,1,2,2011,,,1,2,1,2012,3,8000,82100,12000,34,2,2,2,1,2,2,1,0
217,2,2,1998,,,1,3,1,2005,2,84500,225000,10000,25,1,4,1,1,2,2,1,0
218,1,3,2003,,,1,1,1,1975,4,15,120500,1200,32,1,2,4,4,7,3,2,0
220,1,9,2001,,,1,3,2,2012,3,146000,150000,1000,14,1,4,6,-1,-1,-1,-1,0
220,2,3,2006,,,1,3,2,2008,3,17000,51000,4000,21,2,4,6,-1,-1,-1,-1,0
220,3,4,1997,,,1,3,2,2006,3,80000,120000,4000,18,1,3,6,-1,-1,-1,-1,0
220,4,2,1995,,,1,3,2,2001,4,90000,130000,4000,21,3,2,4,2,2,2,3,0
220,5,4,1964,,,1,3,2,1983,2,100000,130000,1000,17,1,4,6,-1,-1,-1,-1,0
223,1,2,2008,,,1,1,1,2008,3,60,140000,28000,30,1,3,3,2,2,1,3,0
223,2,2,2008,,,1,1,1,2008,5,0,145000,10000,25,2,2,3,2,4,1,1,0
224,1,3,2004,,,2,1,1,2004,3,0,299999,13000,45,1,3,2,4,3,1,2,0
225,1,4,2015,,,1,3,2,2002,3,29000,203000,20000,26,2,3,3,4,5,2,1,0
225,2,11,2016,,,1,1,1,2016,4,37,140,140,23,1,4,6,-1,-1,-1,-1,0
225,3,5,2014,,,1,3,2,2009,4,21000,69000,4000,28,2,3,5,4,5,2,1,0
225,4,5,1999,,,1,3,1,2001,4,45000,203000,10500,21,2,3,3,4,3,2,1,0
225,5,11,1991,,,1,1,2,1999,4,16,80000,4700,18,1,3,1,4,11,1,1,0
226,1,8,2013,,,1,3,1,2015,1,40000,70000,15000,25,1,1,2,1,3,3,2,0
229,1,11,2015,,,1,1,1,2015,4,81,6753,4500,19,1,3,5,2,3,1,2,0
229,2,8,2014,,,1,1,1,2014,2,43,14776,7000,26,2,2,7,3,-1,-1,-1,0
230,1,2,2006,,,1,2,1,2011,2,75000,130000,100000,20,1,3,2,8,2,1,1,0
230,2,2,2004,,,1,3,2,2015,4,70000,78000,7000,35,2,2,4,8,2,1,2,0
232,1,1,2014,,,1,1,2,2014,3,2000,25200,12000,20,2,3,4,2,8,1,1,0
232,2,10,2011,,,1,1,2,2011,4,150,90100,18000,17,1,3,4,2,10,1,1,0
232,3,8,1999,,,1,3,2,2001,3,26000,225500,17000,15,1,2,7,2,-1,-1,-1,0
232,4,11,1976,,,1,3,2,1995,3,210000,300000,4000,13,1,3,7,2,-1,-1,-1,0
233,1,8,2013,,,1,1,2,2015,4,200,2200,2000,25,1,-1,4,2,2,2,1,0
233,2,3,2016,,,1,1,2,2015,4,200,2200,2500,25,1,-1,4,2,2,2,1,0
234,1,3,2015,,,1,1,1,2015,4,52,4308,15000,28,1,4,4,1,3,1,1,0
234,2,2,2000,,,1,1,1,2000,2,25,65000,15000,25,2,2,3,1,2,1,1,0
236,1,3,2012,,,1,3,1,2014,5,50000,62000,6000,19,2,2,3,3,3,2,1,0
236,2,2,2005,,,1,3,1,2007,5,30000,50000,8000,21,1,4,7,3,-1,-1,-1,0
236,3,13,1990,,,1,4,2,2012,5,117000,185000,8000,15,1,4,6,-1,-1,-1,-1,0
238,1,8,2006,,,2,3,1,2012,3,70000,110000,10000,25,1,-1,3,2,8,3,9,0
239,1,2,2012,,,3,3,2,2014,5,45000,84780,20000,55,2,2,4,8,3,2,3,1
239,2,3,2016,,,10,1,2,2016,2,33,3750,5000,67,1,2,4,8,3,2,10,1
239,3,11,1999,,,5,3,2,2011,5,234600,254670,1000,19,1,3,5,8,11,2,5,1
239,4,5,1962,,,1,3,2,1994,1,42560,56380,500,6,1,3,6,-1,-1,-1,-1,1
239,5,1,1955,,,1,3,2,1995,3,11111,22222,200,40,1,3,6,-1,-1,-1,-1,1
239,6,4,1966,,,1,3,2,2009,2,33333,44445,200,7,1,4,6,-1,-1,-1,-1,1
239,7,5,1966,,,1,3,2,2015,4,55555,66666,0,12,1,4,6,-1,-1,-1,-1,1
239,8,5,2002,,,1,1,2,2002,1,13,52479,500,26,2,3,6,-1,-1,-1,-1,1
240,1,2,2008,,,2,3,1,2012,3,108000,183000,25000,50,1,3,3,4,2,3,2,0
240,2,2,2015,,,2,1,1,2015,3,12,18000,10000,48,2,3,5,1,2,2,2,0
240,3,1,2003,,,1,3,2,2013,1,101000,103000,1000,23,3,2,7,4,-1,-1,-1,0
241,1,9,1999,,,1,3,2,2005,5,70000,183000,12000,18,1,4,6,-1,-1,-1,-1,0
241,2,8,2014,,,1,1,1,2014,4,60,10000,5000,25,3,2,5,2,7,1,1,0
241,3,11,2004,,,1,3,1,2007,5,10000,145000,15000,18,4,3,6,-1,-1,-1,-1,0
242,1,5,2003,,,1,3,2,2012,2,49000,83000,8000,20,1,4,6,-1,-1,-1,-1,0
242,2,8,2006,,,1,1,1,2006,3,0,125000,12000,25,2,3,3,3,8,1,1,0
242,3,11,2001,,,5,1,1,2000,4,0,125000,8000,18,1,3,7,2,-1,-1,-1,0
242,4,3,1998,,,1,3,2,2016,2,136000,139000,4000,25,3,3,7,2,-1,-1,-1,0
242,5,8,1996,,,1,1,1,1996,4,0,175000,3000,14,4,1,7,2,-1,-1,-1,0
242,6,2,1973,,,1,4,2,2016,3,123000,123500,500,30,1,4,6,-1,-1,-1,-1,0
242,7,8,1968,,,1,3,2,1989,2,120000,128000,100,17,1,3,7,2,-1,-1,-1,0
243,1,3,1999,,,1,3,2,2005,3,90000,175000,4000,20,1,2,1,4,3,1,3,0
245,1,2,2003,,,1,1,1,2003,2,0,90000,8000,23,1,4,3,2,2,1,3,0
246,1,2,2015,,,2,1,2,2015,3,0,18000,18000,50,1,3,5,2,2,1,2,0
246,2,2,2000,,,1,3,2,2009,2,54000,110000,10000,20,1,3,3,2,2,1,2,0
247,1,11,2005,,,1,1,1,2005,2,0,150000,12000,26,2,3,1,8,7,1,2,0
247,2,8,2007,,,1,1,1,2007,3,0,156000,15000,22,1,1,2,8,8,1,2,0
247,3,2,2014,,,1,1,2,2014,3,0,28000,14000,30,3,1,2,1,3,1,1,0
247,4,3,2016,,,1,1,1,2016,3,0,7000,14000,30,4,1,3,1,3,1,1,0
249,1,8,2011,,,2,3,1,2011,3,35000,37000,12000,26,2,1,4,2,7,3,2,0
249,2,11,2002,,,1,3,1,2004,4,23000,134000,12000,16,1,3,6,-1,-1,-1,-1,0
250,1,1,2010,,,1,3,1,2011,3,22000,88000,13000,25,1,-1,3,4,2,2,1,0
251,1,12,2010,,,1,3,1,2012,4,60000,102000,2000,16,1,3,2,7,3,2,3,0
251,2,8,2006,,,1,3,1,2006,1,60,80000,15000,18,2,4,6,-1,-1,-1,-1,0
253,1,2,2008,,,1,3,1,2009,3,20000,120000,25000,30,2,3,3,2,2,2,3,0
254,1,10,1999,,,1,3,1,2010,1,82000,130000,15000,25,1,3,2,2,10,4,1,0
254,2,4,2006,,,1,3,1,2011,1,50000,100000,10000,18,2,2,3,2,3,4,1,0
256,1,2,2009,,,1,1,1,2009,2,11,72000,11000,24,1,-1,2,2,2,1,2,0
257,1,3,2006,,,1,1,1,2006,2,85,191000,19000,22,1,4,2,7,2,1,2,0
258,1,7,2015,,,1,1,1,2015,4,25,10500,10500,24,1,3,5,2,3,1,9,0
258,2,11,2002,,,1,3,1,2002,5,5000,120000,8500,18,3,3,5,2,3,1,1,0
258,3,8,2015,,,4,1,1,2016,1,18,3500,5000,26,2,2,5,2,8,1,2,0
262,1,13,2000,,,1,3,1,2004,1,61740,162701,6000,16,1,3,1,2,3,2,2,0
262,2,2,2009,,,2,3,1,2014,4,67880,107971,22000,40,2,2,4,2,2,2,2,0
265,1,8,2013,,,1,3,2,2016,2,27500,30000,1200,30,2,2,4,1,3,2,1,0
265,2,3,2005,,,1,3,1,2007,3,40000,188000,20000,20,1,1,2,5,3,2,1,0
267,1,1,2016,,,9,2,2,2015,2,0,6500,5000,110,1,2,2,6,2,1,9,1
267,2,8,2006,,,1,1,1,2006,1,0,80000,4000,25,1,3,3,1,8,1,2,1
