sampno,sequence,age,gender,ethnicity,ethnic_oth,education,drivingfreq,transitfreq,employment,commutework,worktransport,worktransport_oth,commutedist,weeklycommute,workdays,workvehicle,enrolled,schooltransport,schoolcommute,pevowner,age_nrel_agebin
156,1,REDACTED,2,4,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,2,1,15,0,6
156,2,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
158,1,,1,6,-1,4,2,10,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
158,2,,4,8,-1,1,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
159,1,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
159,2,,1,6,-1,2,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,0,3
164,1,,1,4,-1,1,1,0,1,1,1,-1,28,140,5,1,4,-1,-1,0,4
164,2,,2,4,-1,2,1,0,2,1,1,-1,2,12,6,2,4,-1,-1,0,4
164,3,,1,4,-1,1,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
165,1,,1,6,-1,8,1,0,1,1,1,-1,7,70,5,2,4,-1,-1,0,3
166,1,,1,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
166,2,,2,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
167,1,,1,2,-1,4,2,2,1,1,7,-1,4,0,5,3,4,-1,-1,0,3
168,1,,2,6,-1,7,2,0,1,1,2,-1,5,20,5,2,4,-1,-1,0,4
168,2,,1,6,-1,8,1,0,1,1,2,-1,5,50,5,2,4,-1,-1,0,5
169,1,,1,2,-1,4,1,0,1,1,1,-1,60,600,5,2,4,-1,-1,0,5
169,2,,2,2,-1,4,2,0,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
172,1,,2,2,-1,6,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
172,2,,1,2,-1,7,3,10,1,1,3,-1,120,0,5,1,4,-1,-1,0,4
174,1,,1,7,mixed,3,1,50,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
174,2,,2,2,-1,2,2,25,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
176,1,,1,6,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
