Variable Name,Variable Label,Value,"Value Label
(Note: ""-1"" indicates that the question was not shown to that respondent)",
parent_id,Respondent ID,,N/A,
password,Respondent Password,,N/A,
recruit,Administration Type,1,General residential postcard,
,,2,PEV postcard,
,,3,Research Now,
language,Language,1,English,
,,2,Spanish,
county,What county do you currently live in?,1,Alameda County,
,,2,Alpine County,
,,3,Amador County,
,,4,Butte County,
,,5,Calaveras County,
,,6,Colusa County,
,,7,Contra Costa County,
,,8,Del Norte County,
,,9,El Dorado County,
,,10,Fresno County,
,,11,Glenn County,
,,12,Humboldt County,
,,13,Imperial County,
,,14,Inyo County,
,,15,Kern County,
,,16,Kings County,
,,17,Lake County,
,,18,Lassen County,
,,19,Los Angeles County,
,,20,Madera County,
,,21,Marin County,
,,22,Mariposa County,
,,23,Mendocino County,
,,24,Merced County,
,,25,Modoc County,
,,26,Mono County,
,,27,Monterey County,
,,28,Napa County,
,,29,Nevada County,
,,30,Orange County,
,,31,Placer County,
,,32,Plumas County,
,,33,Riverside County,
,,34,Sacramento County,
,,35,San Benito County,
,,36,San Bernardino County,
,,37,San Diego County,
,,38,San Francisco County,
,,39,San Joaquin County,
,,40,San Luis Obispo County,
,,41,San Mateo County,
,,42,Santa Barbara County,
,,43,Santa Clara County,
,,44,Santa Cruz County,
,,45,Shasta County,
,,46,Sierra County,
,,47,Siskiyou County,
,,48,Solano County,
,,49,Sonoma County,
,,50,Stanislaus County,
,,51,Sutter County,
,,52,Tehama County,
,,53,Trinity County,
,,54,Tulare County,
,,55,Tuolumne County,
,,56,Ventura County,
,,57,Yolo County,
,,58,Yuba County,
,,59,Other,
futuredecisionrole,"For your household, what will be the extent of your involvement in future vehicle purchase or lease decisions?",1,I will be the sole decision maker,
,,2,I will be the primary decision maker with input from another household member,
,,3,I will share equally in making the decision with another household member(s),
,,4,"I will provide input into the decision, but I will not be the primary decision maker",
,,5,Another person will be the sole decision maker,
householdvehicles,How many vehicles do you or any member of your household currently own or lease?,,Number of vehicles,
housing,What type of housing do you live at?,1,Single family house not attached to any other house,
,,2,"Single family house attached to one or more houses (townhouse, duplex, triplex) each with separate entry",
,,3,A mobile home,
,,4,Building with 2,
,,5,Building with 5,
,,6,Building with 20 or more apartments/ condos / studios / rooms,
,,7,"Boat, RV, Van, etc.",
,,8,"Other, please specify:",
parkingtype,What type of parking do you primarily use at your residence?,1,Personal garage,
,,2,Personal drive way,
,,3,Parking garage,
,,4,Parking lot,
,,5,Street Parking,
parkingpay,Do you pay to park at your residence?,1,Yes,
,,2,No,
parkamt,Amount paid to park,,Dollars,
parkperiod,Length of time for each parking payment,1,Per day,
,,2,Per week,
,,3,Per month,
companyvehicles,"Do you, or does any member of your household, have access to a company or employer supplied vehicle for personal use?",1,Yes,
,,2,No,
purchase10years,How many vehicles have you or any member of your household purchased new over the last 10 years?,,Number of vehicles,
purchase10years2,How many vehicles have you or any member of your household purchased used over the last 10 years?,,Number of vehicles,
purchase10years3,How many vehicles have you or any member of your household leased over the last 10 years?,,Number of vehicles,
futurefirst,"When do you anticipate purchasing or leasing a car, SUV, van, or pick-up truck in your household? Do NOT include vehicles that will be supplied by employers.",1,Less than 1 year,
,,2,1 to 2 years,
,,3,3 to 5 years,
,,4,6 to 9 years,
,,5,10 years or more,
,,6,I never plan to purchase or lease a vehicle,
pevowner,Do you or any other members of your household currently own a Plug-In Electric Vehicle (plug-in hybrid or full electric)?,1,Yes,
,,2,No,
householdmembers1,Household members under the age of 5,,Number of household members,
householdmembers2,Household members between the ages of 5 to 11,,Number of household members,
householdmembers3,Household members between the ages of 12 to 15,,Number of household members,
householdmembers4,Household members 16 or older (including yourself),,Number of household members,
householdmembers5,Total Household Members,,Number of household members,
whyphev1,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Saving money on fuel costs",0,Not Selected,
,,1,Selected,
whyphev2,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Saving money overall",0,Not Selected,
,,1,Selected,
whyphev3,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Good lease terms & options",0,Not Selected,
,,1,Selected,
whyphev4,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Reducing environmental impacts",0,Not Selected,
,,1,Selected,
whyphev5,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Carpool or High Occupancy Vehicle (HOV) lane access",0,Not Selected,
,,1,Selected,
